ErrorNumber	ErrorText
10001	Veuillez vous reconnecter.
10002	Interruption du système - Veuillez vous reconnecter.
10003	Nous sommes désolés.  Notre clôture de la journée est en cours, et les ventes par Internet sont temporairement suspendues. {br}Veuillez réessayer dans quelques instants
10004	Votre session a expiré; votre panier d'achat et votre sélection de billets ont été réinitialisés. {br}Veuillez vous reconnecter et sélectionner à nouveau les articles que vous souhaitez.
10005	Vous avez quitté la zone de navigation sécurisée.  Veuillez vous reconnecter pour poursuivre.
10006	Impossible de trouver les meilleurs {seat} après l'utilisation du bouton Précédent. {br}Tous les {seat} qui étaient en suspens ont été libérés. {br}Veuillez réserver à nouveau les billets que vous souhaitez.
10007	Impossible d'annuler des billets après l'utilisation du bouton Précédent du navigateur. {br}S'ils se trouvent toujours dans votre panier, veuillez les annuler à partir de là.
10008	Impossible de réserver des billets après l'utilisation du bouton Précédent du navigateur. {br}Veuillez vérifier votre panier d'achat.  Il se peut qu'ils s'y trouvent déjà.
10009	Service de billetterie en ligne temporairement indisponible, pendant l'exécution des sauvegardes
10010	Nombre maximal d'articles pour une commande atteint
10011	Bienvenue sur le site Web de vente en ligne de {company}. {br} {br}Veuillez entrer votre adresse courriel et votre mot de passe OU {br}choisir l'une des options ci-dessous.
10012	Erreur - Veuillez entrer une adresse courriel et un mot de passe valides.
10013	Erreur - adresse courriel ou mot de passe non valide {br}(remarque le mot de passe est sensible à la casse.)
10014	Le mot de passe doit être changé pour pouvoir poursuivre l'ouverture de la session.
10015	Remplissez les champs voulus.
10016	Veuillez sélectionner la représentation pour lequel vous achetez des billets.
10017	Aucun résultat ne correspond à vos critères. {br}Veuillez sélectionner un autre mois ou une autre année, ou encore choisir tous les mois et toutes les années.
10018	Impossible de trouver une représentation de {playtitle} correspondant à vos critères. {br}Veuillez modifier votre recherche.
10019	Veuillez mettre à jour tous les renseignements voulus pour {patronname}.
10020	Veuillez remplir tous les champs voulus {br}{error}
10021	Bienvenue {patronname}
10022	Compte mis à jour
10023	Veuillez entrer votre mot de passe actuel et le nouveau mot de passe de votre choix.
10024	Le mot de passe doit être changé pour pouvoir poursuivre l'ouverture de la session.
10025	Changement de mot de passe annulé
10026	Erreur - Vous devez entrer votre mot de passe actuel de faÁon exacte.
10027	Erreur - Vous devez entrer votre nouveau mot de passe dans les deux champs.
10028	Erreur - Les nouveaux mots de passe entrés ne sont pas identiques.
10029	Erreur - Votre mot de passe doit comporter au moins {passwordminlength} caractères
10030	Nouveau mot de passe identique à l'ancien. {br}Le mot de passe n'a pas été changé.
10031	Mot de passe mis à jour avec succès.
10032	Votre mot de passe a été envoyé à votre adresse courriel.
10033	Une erreur SMTP s'est produite lors de l'envoi de votre mot de de passe à votre adresse courriel.
10034	Nous sommes désolés, aucun compte n'est associé à cette adresse courriel.  Veuillez vérifier cette dernière.
10035	Veuillez sélectionner les listes de diffusion auxquelles vous souhaitez vous abonner.
10036	Veuillez sélectionner une liste de diffusion à laquelle vous souhaitez vous abonner.
10037	Votre nom a été ajouté aux listes de diffusions choisies.
10038	Veuillez sélectionner une liste de diffusion dont vous souhaitez vous désabonner.
10039	Votre nom a été supprimé des listes de diffusions indiquées.
10040	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles dans la section demandée
10041	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles
10042	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles dans la section demandée. {br}Veuillez essayer dans une autre section.
10043	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles. {br}Veuillez essayer dans une autre section.
10044	Voici les meilleurs {seat} encore disponibles.
10045	Voici les meilleurs {seat} disponibles.
10046	Il n'a pas été possible de retenir les billets, car votre processus de sélection a duré trop longtemps ou parce que vous avez cliqué sur le bouton Précédent. Veuillez vérifier les billets achetés dans votre panier, puis recommencer votre sélection.
10047	Les billets ont été placés en attente.
10048	Veuillez entrer le montant que vous souhaitez acheter pour {pass}
10049	{pass} a été ajouté à votre panier d'achat.
10050	Entrée de {pass} annulée
10051	Merci de votre {donation}
10052	Veuillez confirmer les articles que vous achetez.
10053	Panier déjà fermé
10054	Impossible d'envoyer des paiements de moins de zéro dollar
10055	Veuillez essayer à nouveau d'envoyer votre paiement dans 5 minutes.  Nous effectuons un rapprochement des ventes antérieures et avons temporairement suspendu l'acceptation des paiements par carte de crédit.
